symbol,pcr_date,trade_date,pcr_value,pcr_rank,entry_timestamp,entry_price,rsi14,rsi14_mean100,quantity,capital_used,stop_loss_price,take_profit_price,exit_timestamp,exit_price,exit_reason,gross_pnl,pnl_pct
CVS,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1005330781848004,9.0,2025-08-06 09:45:00,63.11,50.207614860717946,45.73601469732973,15,946.65,60.5856,65.6344,2025-08-08 15:59:00,65.53,WEEK_END_CLOSE,36.300000000000026,3.8345745523688857
USB,2025-08-05 00:00:00,2025-08-06 00:00:00,0.038619556285949,4.0,2025-08-06 09:46:00,44.6421,52.44385614491096,52.02224570650526,22,982.1261999999999,42.856415999999996,46.427784,2025-08-08 15:59:00,44.86,WEEK_END_CLOSE,4.7938000000000045,0.48810427824856895
IBM,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1171802054154995,10.0,2025-08-06 09:48:00,250.445,54.17112852947114,52.01704190847857,3,751.335,240.42719999999997,260.4628,2025-08-08 15:59:00,242.14,WEEK_END_CLOSE,-24.91500000000002,-3.316097346722835
LIN,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0484429065743944,5.0,2025-08-06 09:49:00,470.36,56.79211971260369,53.21105622633141,2,940.72,451.5456,489.17440000000005,2025-08-08 15:59:00,472.42,WEEK_END_CLOSE,4.1200000000000045,0.43796241176969897
FDX,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0046893317702227,1.0,2025-08-06 09:52:00,222.92,58.20388779388993,57.306734082442134,4,891.68,214.0032,231.83679999999998,2025-08-08 15:59:00,227.97,WEEK_END_CLOSE,20.200000000000045,2.2653866858065808
ISRG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0792540792540792,7.0,2025-08-06 10:00:00,478.67,50.792522893584874,45.998320050454765,2,957.34,459.5232,497.81680000000006,2025-08-08 15:59:00,470.23,WEEK_END_CLOSE,-16.879999999999995,-1.7632189190883052
RSG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0833333333333333,8.0,2025-08-06 10:17:00,232.615,48.57793528807152,46.141395036960425,4,930.46,223.3104,241.91960000000003,2025-08-08 15:59:00,235.35,WEEK_END_CLOSE,10.93999999999994,1.1757625260623739
AON,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0357142857142857,3.0,2025-08-06 10:20:00,359.215,44.097292848106164,43.486378589789794,2,718.43,344.84639999999996,373.5836,2025-08-08 15:59:00,366.37,WEEK_END_CLOSE,14.31000000000006,1.9918433250281975
SNDK,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0666666666666666,6.0,2025-08-06 10:30:00,42.16,59.472850541988066,53.71717289176993,23,969.68,40.4736,43.846399999999996,2025-08-08 10:33:00,43.846399999999996,TAKE_PROFIT,38.78719999999998,4.0000000000000036
CMCSA,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0082417582417582,2.0,2025-08-06 10:34:00,32.453,47.44739554928206,46.34510048356417,30,973.5900000000001,31.154880000000002,33.75112000000001,2025-08-08 15:59:00,31.665,WEEK_END_CLOSE,-23.640000000000114,-2.428126829568922
