symbol,pcr_date,trade_date,pcr_value,pcr_rank,entry_timestamp,entry_price,rsi14,rsi14_mean100,quantity,capital_used,stop_loss_price,take_profit_price,exit_timestamp,exit_price,exit_reason,gross_pnl,pnl_pct
CVS,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1005330781848004,9.0,2025-08-06 09:45:00,63.11,50.207614860717946,45.73601469732973,15,946.65,60.27005,65.94995,2025-08-08 15:59:00,65.53,WEEK_END_CLOSE,36.300000000000026,3.8345745523688857
USB,2025-08-05 00:00:00,2025-08-06 00:00:00,0.038619556285949,4.0,2025-08-06 09:46:00,44.6421,52.44385614491096,52.02224570650526,22,982.1261999999999,42.633205499999995,46.650994499999996,2025-08-08 15:59:00,44.86,WEEK_END_CLOSE,4.7938000000000045,0.48810427824856895
IBM,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1171802054154995,10.0,2025-08-06 09:48:00,250.445,54.17112852947114,52.01704190847857,3,751.335,239.174975,261.71502499999997,2025-08-08 15:59:00,242.14,WEEK_END_CLOSE,-24.91500000000002,-3.316097346722835
LIN,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0484429065743944,5.0,2025-08-06 09:49:00,470.36,56.79211971260369,53.21105622633141,2,940.72,449.1938,491.52619999999996,2025-08-08 15:59:00,472.42,WEEK_END_CLOSE,4.1200000000000045,0.43796241176969897
FDX,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0046893317702227,1.0,2025-08-06 09:52:00,222.92,58.20388779388993,57.306734082442134,4,891.68,212.88859999999997,232.95139999999998,2025-08-08 15:59:00,227.97,WEEK_END_CLOSE,20.200000000000045,2.2653866858065808
ISRG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0792540792540792,7.0,2025-08-06 10:00:00,478.67,50.792522893584874,45.998320050454765,2,957.34,457.12985,500.21015,2025-08-08 15:59:00,470.23,WEEK_END_CLOSE,-16.879999999999995,-1.7632189190883052
RSG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0833333333333333,8.0,2025-08-06 10:17:00,232.615,48.57793528807152,46.141395036960425,4,930.46,222.147325,243.082675,2025-08-08 15:59:00,235.35,WEEK_END_CLOSE,10.93999999999994,1.1757625260623739
AON,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0357142857142857,3.0,2025-08-06 10:20:00,359.215,44.097292848106164,43.486378589789794,2,718.43,343.050325,375.37967499999996,2025-08-08 15:59:00,366.37,WEEK_END_CLOSE,14.31000000000006,1.9918433250281975
SNDK,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0666666666666666,6.0,2025-08-06 10:30:00,42.16,59.472850541988066,53.71717289176993,23,969.68,40.2628,44.057199999999995,2025-08-08 11:08:00,44.057199999999995,TAKE_PROFIT,43.635599999999954,4.499999999999993
CMCSA,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0082417582417582,2.0,2025-08-06 10:34:00,32.453,47.44739554928206,46.34510048356417,30,973.5900000000001,30.992615,33.913385,2025-08-08 15:59:00,31.665,WEEK_END_CLOSE,-23.640000000000114,-2.428126829568922
BX,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0429487179487179,9.0,2025-08-07 09:49:00,170.13,49.186024044865036,48.02147874412731,5,850.65,162.47414999999998,177.78584999999998,2025-08-08 15:59:00,168.97,WEEK_END_CLOSE,-5.799999999999983,-0.6818315405866082
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0131578947368421,2.0,2025-08-07 09:49:00,145.35,50.69205225259806,49.40741568291859,6,872.0999999999999,138.80925,151.89075,2025-08-08 15:59:00,142.67,WEEK_END_CLOSE,-16.08000000000004,-1.8438252493980123
DLR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0138888888888888,4.0,2025-08-07 09:59:00,170.16,52.46661467226839,48.995007597011465,5,850.8,162.50279999999998,177.81719999999999,2025-08-08 15:59:00,169.96,WEEK_END_CLOSE,-0.9999999999999432,-0.11753643629524024
KMI,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0408010012515644,7.0,2025-08-07 10:02:00,27.095,57.95099485085113,55.545006167757435,36,975.42,25.875725,28.314275,2025-08-08 15:59:00,26.885,WEEK_END_CLOSE,-7.559999999999903,-0.7750507473703538
AJG,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0335820895522388,6.0,2025-08-07 10:28:00,286.31,53.44666762437855,48.968470691110916,3,858.9300000000001,273.42605,299.19395,2025-08-08 15:59:00,289.44,WEEK_END_CLOSE,9.389999999999986,1.0932206349760776
APD,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0821917808219178,10.0,2025-08-07 10:36:00,290.34,50.173443733634045,48.197378949412894,3,871.02,277.27469999999994,303.40529999999995,2025-08-08 15:59:00,288.46,WEEK_END_CLOSE,-5.639999999999986,-0.6475167045532859
