symbol,pcr_date,trade_date,pcr_value,pcr_rank,entry_timestamp,entry_price,rsi14,rsi14_mean100,quantity,capital_used,stop_loss_price,take_profit_price,exit_timestamp,exit_price,exit_reason,gross_pnl,pnl_pct
CME,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1353628703452025,8.0,2025-08-06 09:45:00,280.5875,38.041649695883514,33.83051695450892,3,841.7624999999999,266.55812499999996,294.616875,2025-08-08 15:59:00,282.17,WEEK_END_CLOSE,4.747500000000116,0.563995188666655
CVS,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1344810713074705,7.0,2025-08-06 09:45:00,63.11,50.207614860717946,45.73601469732973,15,946.65,59.954499999999996,66.2655,2025-08-08 15:59:00,65.53,WEEK_END_CLOSE,36.300000000000026,3.8345745523688857
LIN,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0484429065743944,3.0,2025-08-06 09:49:00,470.36,56.79211971260369,53.21105622633141,2,940.72,446.842,493.87800000000004,2025-08-08 15:59:00,472.42,WEEK_END_CLOSE,4.1200000000000045,0.43796241176969897
FDX,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0038675678426435,1.0,2025-08-06 09:52:00,222.92,58.20388779388993,57.306734082442134,4,891.68,211.77399999999997,234.066,2025-08-08 15:59:00,227.97,WEEK_END_CLOSE,20.200000000000045,2.2653866858065808
APD,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1270718232044199,6.0,2025-08-06 09:55:00,292.045,53.318355294415795,51.69001663031349,3,876.135,277.44275,306.64725000000004,2025-08-08 15:59:00,288.46,WEEK_END_CLOSE,-10.75500000000011,-1.227550548716816
RSG,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0833333333333333,5.0,2025-08-06 10:17:00,232.615,48.57793528807152,46.141395036960425,4,930.46,220.98425,244.24575000000002,2025-08-08 15:59:00,235.35,WEEK_END_CLOSE,10.93999999999994,1.1757625260623739
AON,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0357142857142857,2.0,2025-08-06 10:20:00,359.215,44.097292848106164,43.486378589789794,2,718.43,341.25424999999996,377.17575,2025-08-08 15:59:00,366.37,WEEK_END_CLOSE,14.31000000000006,1.9918433250281975
SNDK,2025-08-05 00:00:00,2025-08-06 00:00:00,0.0666666666666666,4.0,2025-08-06 10:30:00,42.16,59.472850541988066,53.71717289176993,23,969.68,40.05199999999999,44.268,2025-08-08 11:27:00,44.268,TAKE_PROFIT,48.484000000000094,5.000000000000004
CMCSA,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1527289126054558,9.0,2025-08-06 10:34:00,32.453,47.44739554928206,46.34510048356417,30,973.5900000000001,30.830350000000003,34.07565,2025-08-08 15:59:00,31.665,WEEK_END_CLOSE,-23.640000000000114,-2.428126829568922
MSI,2025-08-05 00:00:00,2025-08-06 00:00:00,0.1826923076923076,10.0,2025-08-06 11:19:00,441.43,63.690051734445696,63.5355530362803,2,882.86,419.3585,463.5015,2025-08-08 15:59:00,453.48,WEEK_END_CLOSE,24.100000000000023,2.729764628593445
KKR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0176446393875865,3.0,2025-08-07 09:49:00,145.35,50.69205225259806,49.40741568291859,6,872.0999999999999,138.08249999999998,152.6175,2025-08-08 15:59:00,142.67,WEEK_END_CLOSE,-16.08000000000004,-1.8438252493980123
DLR,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0362852778107015,6.0,2025-08-07 09:59:00,170.16,52.46661467226839,48.995007597011465,5,850.8,161.652,178.668,2025-08-08 15:59:00,169.96,WEEK_END_CLOSE,-0.9999999999999432,-0.11753643629524024
AJG,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0335820895522388,5.0,2025-08-07 10:28:00,286.31,53.44666762437855,48.968470691110916,3,858.9300000000001,271.9945,300.6255,2025-08-08 15:59:00,289.44,WEEK_END_CLOSE,9.389999999999986,1.0932206349760776
CDNS,2025-08-06 00:00:00,2025-08-07 00:00:00,0.1436651583710407,10.0,2025-08-07 10:29:00,356.97,49.23396218272302,44.00715379158198,2,713.94,339.1215,374.81850000000003,2025-08-08 15:59:00,352.38,WEEK_END_CLOSE,-9.180000000000064,-1.2858223380116107
CMI,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0422077922077922,7.0,2025-08-07 10:54:00,380.2699,48.11010460183854,44.938636819447204,2,760.5398,361.256405,399.28339500000004,2025-08-08 15:59:00,387.36,WEEK_END_CLOSE,14.180200000000013,1.8644915098460446
MCO,2025-08-06 00:00:00,2025-08-07 00:00:00,0.0909090909090909,9.0,2025-08-07 11:21:00,517.34,47.89358532235251,46.709230507193865,1,517.34,491.473,543.2070000000001,2025-08-08 15:59:00,515.3,WEEK_END_CLOSE,-2.0400000000000773,-0.3943248154018808
SPGI,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0327922077922077,5.0,2025-08-08 09:46:00,559.325,54.624559051667624,53.71522490837739,1,559.325,531.35875,587.2912500000001,2025-08-08 15:59:00,556.08,WEEK_END_CLOSE,-3.2450000000000045,-0.5801635900415714
NSC,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0226440226440226,3.0,2025-08-08 09:49:00,281.41,56.6315510052204,54.3865008781573,3,844.23,267.3395,295.48050000000006,2025-08-08 15:59:00,279.93,WEEK_END_CLOSE,-4.440000000000055,-0.5259230304537899
WELL,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0666666666666666,9.0,2025-08-08 09:59:00,170.465,53.11586276381429,52.67436176819036,5,852.325,161.94174999999998,178.98825000000002,2025-08-08 15:59:00,168.17,WEEK_END_CLOSE,-11.47500000000008,-1.3463174258645516
JCI,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0050847457627118,2.0,2025-08-08 10:02:00,105.145,60.30495773285708,59.0951476804394,9,946.305,99.88775,110.40225,2025-08-08 15:59:00,105.51,WEEK_END_CLOSE,3.285000000000082,0.347139664273155
ITW,2025-08-07 00:00:00,2025-08-08 00:00:00,0.0,1.0,2025-08-08 10:30:00,258.475,59.47829420781011,58.91578412541658,3,775.4250000000001,245.55125,271.39875000000006,2025-08-08 15:59:00,256.99,WEEK_END_CLOSE,-4.455000000000041,-0.5745236483218896
